id,veh_value,exposure,veh_body,veh_age,gender,area,agecat,clm,numclaims
1,2.44,0.941318701,SEDAN,2,M,A,2,0,0
2,1.54,0.665501905,SEDAN,3,F,A,3,0,0
3,2.42,0.109258819,UTE,3,M,A,2,0,0
4,2.74,0.911991343,SEDAN,1,F,A,2,0,0
5,1.01,0.9209491,SEDAN,3,M,A,4,0,0
6,0.97,0.637352308,SEDAN,4,M,A,5,0,0
7,0.28,0.181820358,SEDAN,4,M,A,6,0,0
8,3.36,0.920952899,STNWG,1,F,A,4,0,0
9,1.04,0.559324507,HDTOP,4,M,A,5,0,0
10,1.09,0.275265151,SEDAN,3,M,A,4,0,0
11,0.68,0.631208453,PANVN,4,M,A,6,0,0
12,1.89,0.347890366,SEDAN,4,M,A,4,0,0
13,2.04,0.408943042,HBACK,2,F,A,5,0,0
14,1.5,0.938470579,HBACK,2,F,A,4,0,0
15,5.58,0.111356421,STNWG,1,M,A,2,0,0
16,1.2,0.187533675,SEDAN,3,M,A,3,0,0
17,1.44,0.293817274,HBACK,1,M,A,2,0,0
18,0.52,0.546292611,SEDAN,4,M,A,2,0,0
19,0.61,0.129293618,SEDAN,4,M,A,5,0,0
20,1.18,0.668521773,SEDAN,2,M,A,6,0,0
21,0.52,0.612563794,HBACK,4,M,A,4,0,0
22,14.47,0.166003712,COUPE,1,M,A,3,0,0
23,1.03,0.470582624,SEDAN,4,M,A,3,0,0
24,1.2,0.195762213,SEDAN,3,M,A,4,0,0
25,0.73,0.190872487,SEDAN,4,F,A,6,0,0
26,0.81,0.92095224,HBACK,3,F,A,2,0,0
27,1.11,0.282488854,HBACK,3,M,A,1,0,0
28,1.56,0.124603044,HBACK,1,F,A,3,0,0
29,2.55,0.203206562,STNWG,2,M,A,4,0,0
30,1.54,0.91349308,HBACK,1,F,A,1,0,0
31,0.75,0.694113844,TRUCK,3,M,A,4,0,0
32,0.86,0.361899722,HBACK,3,F,A,4,0,0
33,3.63,0.999348217,SEDAN,1,M,A,4,0,0
34,1.3,0.405966804,UTE,4,M,A,5,0,0
35,1.55,0.083934762,SEDAN,4,M,A,5,0,0
36,2,0.143904589,SEDAN,3,F,A,3,0,0
37,1.19,0.637587908,HBACK,2,F,A,4,0,0
38,1.04,0.117813377,HBACK,3,M,A,5,0,0
39,1.24,0.113398849,HBACK,3,F,A,3,0,0
40,1.65,0.180706405,SEDAN,2,M,A,5,0,0
41,2.68,0.608483384,STNWG,3,M,A,2,0,0
42,4.31,0.391361587,STNWG,2,M,A,3,0,0
43,2.49,0.400925772,HBACK,3,F,A,2,0,0
44,1.39,0.197279367,SEDAN,3,M,A,4,0,0
45,0.85,0.921821228,SEDAN,3,F,A,6,0,0
46,1.27,0.917886581,SEDAN,4,M,A,5,0,0
47,2.56,0.373143165,SEDAN,1,F,A,1,0,0
48,3.76,0.779829054,UTE,1,M,A,5,0,0
49,1.44,0.184166084,HBACK,4,F,A,1,0,0
50,1.83,0.920003416,SEDAN,2,M,A,4,0,0
51,0.72,0.18952258,HBACK,4,F,A,4,0,0
52,1.53,0.200561083,SEDAN,3,M,A,6,0,0
53,1.23,0.270606296,SEDAN,3,M,A,4,0,0
54,3.01,0.55012691,UTE,2,M,A,4,0,0
55,0.74,0.616339931,HBACK,4,F,A,4,0,0
56,1.66,0.126543132,UTE,3,M,A,3,0,0
57,1.26,0.103925229,HBACK,2,M,A,5,0,0
58,1.66,0.059628121,SEDAN,1,F,A,5,0,0
59,0.39,0.919939788,HBACK,4,M,A,5,0,0
60,2.13,0.618687885,HBACK,1,F,A,5,0,0
61,0.81,0.753493003,SEDAN,4,M,A,4,0,0
62,1.32,0.918682829,HDTOP,4,F,A,3,0,0
63,0.74,0.921895244,SEDAN,4,F,A,6,0,0
64,0.77,0.919804182,SEDAN,4,M,A,6,0,0
65,1.43,0.663375483,STNWG,4,M,A,2,0,0
66,2.24,0.273999635,STNWG,1,M,A,2,0,0
67,1.49,0.352104598,UTE,3,M,A,2,0,0
68,1.47,0.922365046,SEDAN,3,F,A,3,0,0
69,9.66,0.099636135,SEDAN,3,M,A,4,0,0
70,0.46,0.112829549,HBACK,4,F,A,4,0,0
71,1.68,0.40212254,HBACK,2,M,A,3,0,0
72,0.78,0.919342498,HBACK,4,M,A,5,0,0
73,2.68,0.913216597,TRUCK,3,M,A,2,0,0
74,0.72,0.134384722,HBACK,4,F,A,3,0,0
75,1.69,0.280541277,HDTOP,4,M,A,4,0,0
76,1.66,0.182159803,HBACK,2,M,A,5,0,0
77,1.83,0.137073584,TRUCK,1,M,A,3,0,0
78,4.32,0.64370016,STNWG,1,F,A,4,0,0
79,1.22,0.082194928,HBACK,3,F,A,4,0,0
80,4.29,0.918994139,STNWG,2,M,A,5,0,0
81,1.07,0.576941747,SEDAN,3,F,A,4,0,0
82,3.09,0.92143396,STNWG,3,F,A,3,0,0
83,0.86,0.634404919,HBACK,4,F,A,6,0,0
84,1.12,0.147075639,UTE,4,M,A,3,0,0
85,1.34,0.285424962,HBACK,2,F,A,1,0,0
86,1.92,0.911800708,STNWG,3,F,A,3,0,0
87,1.88,0.940243698,SEDAN,3,F,A,5,0,0
88,3.85,0.571489496,UTE,2,M,A,3,0,0
89,0.71,0.920859656,HBACK,4,F,A,6,0,0
90,5.25,0.613249918,STNWG,2,F,A,3,0,0
91,4.11,0.084238676,UTE,1,M,A,5,0,0
92,2.7,0.78561738,STNWG,2,M,A,4,0,0
93,3.88,0.938418422,STNWG,2,M,A,1,0,0
94,1.92,0.643473654,STNWG,4,M,A,6,0,0
95,0.9,0.922330452,HBACK,3,F,A,3,0,0
96,1.58,0.753218478,HBACK,3,M,A,2,0,0
97,2.36,0.921228294,STNWG,3,M,A,5,0,0
98,1.65,0.129133215,MIBUS,4,F,A,4,0,0
99,3.35,0.913314231,UTE,1,F,A,3,0,0
100,1.41,0.634108557,STNWG,4,M,A,4,0,0
101,2.16,0.786072663,STNWG,4,M,A,3,0,0
102,4.78,0.75805967,STNWG,1,M,A,6,0,0
103,2.86,0.918277009,SEDAN,1,F,A,3,0,0
104,1.78,0.253902222,HBACK,3,F,A,2,0,0
105,1.72,0.10533283,PANVN,3,M,A,4,0,0
106,0.85,0.135408103,HBACK,4,M,A,3,0,0
107,4.13,0.710907431,STNWG,2,M,A,6,0,0
108,1.02,0.287198971,SEDAN,3,M,A,3,0,0
109,2.18,0.263656224,UTE,3,F,A,5,0,0
110,5.03,0.308440694,STNWG,1,M,A,5,0,0
111,2.05,0.439762142,HBACK,1,M,A,5,0,0
112,0.92,0.428097559,SEDAN,3,F,A,3,0,0
113,2.7,0.216549255,SEDAN,1,M,A,4,0,0
114,0.45,0.086590582,HBACK,4,F,A,2,0,0
115,0.79,0.653796366,HBACK,4,F,A,2,0,0
116,1.18,0.202989011,SEDAN,3,M,A,5,0,0
117,0.98,0.355966949,SEDAN,3,F,A,3,0,0
118,2.25,0.248038846,HDTOP,2,F,A,5,0,0
119,0.65,0.07942593,STNWG,4,M,A,6,0,0
120,2.03,0.106744704,STNWG,2,F,A,4,0,0
121,1.47,0.999357923,HBACK,2,M,A,4,0,0
122,0.75,0.302908494,SEDAN,4,M,A,1,0,0
123,3.28,0.056576306,STNWG,2,F,A,5,0,0
124,6.97,0.783482097,STNWG,1,M,A,2,0,0
125,0.87,0.693836,HBACK,3,M,A,2,0,0
126,1.77,0.276803815,SEDAN,2,F,A,4,0,0
127,0.44,0.554846782,STNWG,4,F,A,2,0,0
128,2.08,0.967780377,SEDAN,2,F,A,5,0,0
129,1.97,0.655527166,HBACK,2,F,A,3,0,0
130,0.3,0.056192754,PANVN,4,M,A,3,0,0
131,1.36,0.953031748,UTE,4,M,A,5,0,0
132,3.31,0.593337596,STNWG,2,F,A,2,0,0
133,1.39,0.633664254,SEDAN,4,F,A,3,0,0
134,1.7,0.669947434,HBACK,1,F,A,6,0,0
135,1.39,0.947082224,HBACK,3,F,A,5,0,0
136,3.89,0.284045118,STNWG,2,F,A,3,0,0
137,2.4,0.65454583,HBACK,2,M,A,4,0,0
138,0.87,0.797719087,HBACK,4,F,A,3,0,0
139,1.9,0.798760638,HBACK,2,F,A,4,0,0
140,1.69,0.680931365,HBACK,1,F,A,3,0,0
141,2.31,0.647678787,SEDAN,2,M,A,4,0,0
142,1.12,0.702815756,HBACK,3,F,A,2,0,0
143,0.87,0.939756201,SEDAN,3,F,A,2,0,0
144,1.91,0.691467157,SEDAN,2,M,A,2,0,0
145,2.08,0.095778425,HBACK,2,F,A,3,0,0
146,1.39,0.263468622,STNWG,4,M,A,4,0,0
147,4.04,0.279815119,STNWG,2,M,A,4,0,0
148,1.37,0.478813183,STNWG,4,M,A,2,0,0
149,2.05,0.139683219,SEDAN,1,F,A,1,0,0
150,1.04,0.753390509,SEDAN,3,M,A,4,0,0
151,2.16,0.692767579,HBACK,1,M,A,4,0,0
152,0.78,0.517446814,SEDAN,4,M,A,3,0,0
153,1.99,0.741448809,SEDAN,2,M,A,3,0,0
154,1.71,0.276876171,HBACK,2,F,A,3,0,0
155,0.65,0.68684285,UTE,4,M,A,6,0,0
156,0.41,0.253480267,HBACK,4,F,A,6,0,0
157,1.57,0.684865729,HBACK,2,F,A,3,0,0
158,1.59,0.791285602,HBACK,3,F,A,4,0,0
159,1.93,0.418656728,SEDAN,2,F,A,2,0,0
160,2.04,0.230129995,STNWG,3,F,A,3,0,0
161,0.59,0.226072179,HBACK,4,M,A,4,0,0
162,0.76,0.150241862,SEDAN,4,M,A,3,0,0
163,0.9,0.609627084,HBACK,4,F,A,2,0,0
164,2.96,0.423436647,HBACK,1,F,A,4,0,0
165,2.57,0.330686817,STNWG,3,M,A,4,0,0
166,4.38,0.574078725,UTE,1,M,A,2,0,0
167,0.57,0.674424094,HBACK,4,M,A,4,0,0
168,0.48,0.31866027,STNWG,4,M,A,6,0,0
169,1.77,0.370543951,STNWG,2,F,A,4,0,0
170,1.12,0.258209245,HBACK,3,M,A,4,0,0
171,1.61,0.258043836,HBACK,2,M,A,2,0,0
172,1.78,0.43282465,HDTOP,4,M,A,2,0,0
173,0.83,0.255660184,HBACK,4,F,A,3,0,0
174,2.08,0.442492554,SEDAN,2,M,A,3,0,0
175,1.43,0.999345602,SEDAN,2,F,A,5,0,0
176,0.73,0.580145004,SEDAN,4,F,A,2,0,0
177,2.16,0.99410003,SEDAN,2,F,A,4,0,0
178,1.57,0.381577352,HDTOP,3,M,A,5,0,0
179,1.04,0.670293076,SEDAN,3,F,A,5,0,0
180,2.68,0.359761445,SEDAN,1,F,A,4,0,0
181,1.49,0.462325484,HBACK,1,M,A,4,0,0
182,1.45,0.404007808,HBACK,1,F,A,4,0,0
183,2.04,0.069562349,STNWG,2,F,A,3,0,0
184,2.47,0.32233694,STNWG,4,M,A,3,0,0
185,0.98,0.21832008,HBACK,3,F,A,3,0,0
186,1.56,0.093070524,SEDAN,2,F,A,1,0,0
187,0.72,0.270103912,SEDAN,4,F,A,4,0,0
188,1.84,0.344566413,SEDAN,2,F,A,4,0,0
189,1.96,0.419945573,SEDAN,2,F,A,5,0,0
190,0.75,0.973227702,SEDAN,4,F,A,3,0,0
191,1.02,0.994200474,SEDAN,4,M,A,3,0,0
192,1.54,0.630619746,UTE,3,M,A,5,0,0
193,2.15,0.562673674,SEDAN,2,F,A,4,0,0
194,0.84,0.543451272,HBACK,4,F,A,3,0,0
195,1.4,0.454094477,STNWG,3,F,A,2,0,0
196,1.75,0.329380614,HBACK,2,F,A,1,0,0
197,0.87,0.353390529,PANVN,4,F,A,5,0,0
198,4.39,0.186924352,STNWG,2,F,A,5,0,0
199,7.35,0.814867254,STNWG,1,M,A,5,0,0
200,1.42,0.313839969,HBACK,1,F,A,4,0,0
201,1.42,0.687652834,SEDAN,3,M,A,6,0,0
202,2.09,0.443896919,SEDAN,1,F,A,4,0,0
203,1.25,0.042355803,STNWG,3,M,A,6,0,0
204,2.49,0.842675276,SEDAN,1,F,A,5,0,0
205,1.52,0.999340563,SEDAN,2,M,A,4,0,0
206,1.39,0.732460895,TRUCK,2,M,A,4,0,0
207,2.19,0.336787269,SEDAN,2,F,A,1,0,0
208,0.83,0.23541918,SEDAN,3,M,A,3,0,0
209,1.1,0.474125067,HBACK,2,F,A,4,0,0
210,5.26,0.452689494,STNWG,1,M,A,3,0,0
211,2.9,0.232246234,STNWG,2,M,A,3,0,0
212,0.69,0.636509429,SEDAN,4,F,A,3,0,0
213,0.63,0.971001089,HBACK,4,F,A,1,0,0
214,1.3,0.668725862,HBACK,1,F,A,2,0,0
215,1.53,0.061179801,HBACK,2,F,A,2,0,0
216,1.48,0.19411586,HBACK,1,M,A,4,0,0
217,1.11,0.1014854,HBACK,4,F,A,2,0,0
218,1.42,0.473539064,SEDAN,3,F,A,5,0,0
219,0.43,0.647015587,HBACK,4,F,A,5,0,0
220,2.22,0.297201558,TRUCK,1,M,A,1,0,0
221,1.46,0.965886564,HBACK,1,F,A,2,0,0
222,0.99,0.388392141,UTE,4,M,A,3,0,0
223,0.9,0.98351389,SEDAN,4,F,A,4,0,0
224,1.28,0.745378288,HBACK,2,F,A,1,0,0
225,0.83,0.272814925,HBACK,3,F,A,5,0,0
226,0.91,0.980839647,HBACK,3,F,A,2,0,0
227,2.92,0.378920286,STNWG,1,F,A,2,0,0
228,1.57,0.667591113,UTE,3,M,A,4,0,0
229,0.88,0.595203675,SEDAN,3,F,A,5,0,0
230,1.83,0.085070019,SEDAN,2,F,A,3,0,0
231,0.62,0.946790257,PANVN,4,F,A,1,0,0
232,0.73,0.718270948,STNWG,4,M,A,6,0,0
233,0.91,0.406596023,SEDAN,3,M,A,1,0,0
234,1.68,0.730078513,HBACK,2,M,A,6,0,0
235,1.68,0.247051357,SEDAN,2,F,A,3,0,0
236,1.33,0.322342275,HBACK,1,M,A,3,0,0
237,0.93,0.671254926,SEDAN,3,F,A,5,0,0
238,0.84,0.941802338,HBACK,3,M,A,4,0,0
239,0.51,0.44318329,SEDAN,4,F,A,5,0,0
240,0.62,0.127142775,SEDAN,4,F,A,4,0,0
241,1.34,0.047302755,HBACK,2,M,A,4,0,0
242,3.71,0.830693974,COUPE,4,M,A,6,0,0
243,1.83,0.983444384,HBACK,2,F,A,5,0,0
244,0.93,0.862448901,SEDAN,4,F,A,5,0,0
245,0.94,0.242056779,SEDAN,3,M,A,6,0,0
246,1.08,0.243950297,SEDAN,3,M,A,6,0,0
247,2.04,0.584218598,HBACK,1,F,A,3,0,0
248,0.84,0.640253443,HBACK,4,F,A,2,0,0
249,4.02,0.663378162,STNWG,2,M,A,6,0,0
250,0.53,0.942526781,HBACK,4,F,A,4,0,0
251,0.5,0.739376716,SEDAN,4,M,A,4,0,0
252,1.16,0.09565714,STNWG,4,M,A,2,0,0
253,1.02,0.939348925,SEDAN,3,M,A,6,0,0
254,1.59,0.425778126,SEDAN,2,F,A,3,0,0
255,1.72,0.613045314,HBACK,1,F,A,3,0,0
256,1.28,0.939582954,UTE,4,M,A,4,0,0
257,1.26,0.994193147,SEDAN,3,F,A,4,0,0
258,2.65,0.345778996,STNWG,2,F,A,3,0,0
259,6.03,0.57781381,STNWG,1,M,A,4,0,0
260,2.03,0.723896103,SEDAN,2,F,A,1,0,0
261,2.01,0.273335255,HBACK,1,M,A,5,0,0
262,0.94,0.398925184,SEDAN,4,F,A,2,0,0
263,2.34,0.347796101,UTE,2,M,A,5,0,0
264,2.07,0.062084931,SEDAN,2,M,A,6,0,0
265,1.65,0.329935967,HBACK,1,M,A,4,0,0
266,0.72,0.306020745,SEDAN,4,M,A,3,0,0
267,1.75,0.32213259,HBACK,1,M,A,4,0,0
268,2.04,0.277557559,STNWG,1,F,A,5,0,0
269,1.92,0.325908689,SEDAN,3,F,A,3,0,0
270,0.86,0.929229936,HBACK,3,M,A,6,0,0
271,0.35,0.268031463,SEDAN,4,M,A,5,0,0
272,0.76,0.201448509,HBACK,4,M,A,5,0,0
273,1.32,0.454496481,STNWG,4,M,A,5,0,0
274,0.85,0.726287867,HBACK,4,M,A,4,0,0
275,1.41,0.972908131,HBACK,2,F,A,4,0,0
276,1.21,0.647573571,SEDAN,3,M,A,6,0,0
277,5.09,0.446491064,SEDAN,3,M,A,5,0,0
278,2.34,0.870255161,SEDAN,2,F,A,3,0,0
279,2.34,0.351335635,SEDAN,2,F,A,4,0,0
280,1.08,0.311388725,HDTOP,4,M,A,2,0,0
281,1.27,0.479924558,SEDAN,3,F,A,2,0,0
282,3.23,0.116662588,SEDAN,3,F,A,5,0,0
283,3.55,0.488367641,STNWG,1,F,A,5,0,0
284,1.55,0.999341109,SEDAN,2,F,A,3,0,0
285,0.73,0.458653986,SEDAN,4,F,A,2,0,0
286,1.89,0.138467369,UTE,4,F,A,1,0,0
287,1.23,0.715083818,HBACK,3,F,A,5,0,0
288,1.43,0.724193633,HBACK,1,F,A,3,0,0
289,5.56,0.386195081,STNWG,2,M,A,2,0,0
290,1.08,0.230214247,SEDAN,3,M,A,5,0,0
291,0.46,0.262079083,SEDAN,4,M,A,4,0,0
292,1.77,0.328618629,SEDAN,2,M,A,1,0,0
293,1.41,0.210746302,STNWG,4,F,A,3,0,0
294,0.93,0.205313066,SEDAN,3,F,A,2,0,0
295,0.41,0.443142001,SEDAN,4,M,A,6,0,0
296,4.66,0.105597953,STNWG,1,F,A,3,0,0
297,0.68,0.099755598,HBACK,3,F,A,4,0,0
298,2.16,0.896676099,STNWG,2,M,A,4,0,0
299,0.8,0.970265909,STNWG,4,F,A,4,0,0
300,2.97,0.978781271,STNWG,2,F,A,2,0,0
301,1.44,0.07051969,SEDAN,3,F,A,1,0,0
302,0.92,0.267308691,SEDAN,3,M,A,3,0,0
303,1.17,0.968445824,SEDAN,3,F,A,6,0,0
304,1.24,0.451479214,HBACK,3,F,A,4,0,0
305,1.73,0.608300718,SEDAN,2,F,A,5,0,0
306,0.79,0.436173862,STNWG,4,M,A,4,0,0
307,1.81,0.31269334,SEDAN,1,F,A,4,0,0
308,1.63,0.358007625,HBACK,2,F,A,5,0,0
