id,claimcst0,veh_value,exposure,veh_body,veh_age,gender,area,agecat,clm,numclaims
1,0,6.43,0.241897754,STNWG,1,M,A,3,0,0
2,0,4.46,0.856522757,STNWG,1,M,A,3,0,0
3,0,1.7,0.417516596,HBACK,1,M,A,4,0,0
4,0,0.48,0.626974524,SEDAN,4,F,A,6,0,0
5,0,1.96,0.089770031,HBACK,1,F,A,2,0,0
6,0,1.78,0.25654335,HBACK,2,M,A,3,0,0
7,0,2.7,0.688128611,UTE,2,M,A,1,0,0
8,0,0.94,0.912765859,STNWG,4,M,A,2,0,0
9,0,1.98,0.157753423,SEDAN,2,M,A,4,0,0
10,0,1.04,0.044920865,SEDAN,3,F,A,2,0,0
11,0,1.1,0.351634665,SEDAN,4,M,A,4,0,0
12,0,4.04,0.858067296,STNWG,2,M,A,4,0,0
13,0,1.38,0.654490078,STNWG,4,M,A,4,0,0
14,0,1.24,0.731126357,SEDAN,3,F,A,2,0,0
15,0,1.47,0.472666497,HBACK,1,M,A,1,0,0
16,0,1.35,0.630303137,SEDAN,3,F,A,4,0,0
17,0,1.59,0.686495538,SEDAN,3,M,A,3,0,0
18,0,1.92,0.916322649,SEDAN,2,F,A,5,0,0
19,0,3.63,0.635119178,STNWG,2,M,A,5,0,0
20,0,1.84,0.532929586,HBACK,2,F,A,3,0,0
21,0,3.77,0.202138282,STNWG,2,F,A,3,0,0
22,0,0.44,0.610263216,UTE,4,F,A,3,0,0
23,0,0.44,0.917491085,SEDAN,4,F,A,6,0,0
24,0,1.23,0.627490963,SEDAN,3,F,A,6,0,0
25,0,1.89,0.608144096,SEDAN,3,F,A,6,0,0
26,0,0.61,0.680916346,SEDAN,4,F,A,4,0,0
27,0,1.51,0.170432893,SEDAN,3,F,A,5,0,0
28,0,1.26,0.919359694,HBACK,3,F,A,5,0,0
29,0,4.91,0.659085101,TRUCK,1,F,A,4,0,0
30,0,2.31,0.26702117,STNWG,2,F,A,3,0,0
31,0,1.17,0.373406076,SEDAN,3,M,A,3,0,0
32,0,1.81,0.157805121,STNWG,4,M,A,2,0,0
33,0,1.25,0.917398657,SEDAN,3,F,A,6,0,0
34,0,1,0.342001507,HDTOP,4,M,A,4,0,0
35,0,1.46,0.908747989,STNWG,3,M,A,2,0,0
36,0,0.45,0.331974782,HBACK,4,F,A,3,0,0
37,0,0.76,0.858882411,HBACK,3,F,A,3,0,0
38,0,9.33,0.380635327,SEDAN,2,M,A,6,0,0
39,0,1.76,0.770876684,HBACK,2,M,A,4,0,0
40,0,3.32,0.034059806,HBACK,2,M,A,4,0,0
41,0,2.11,0.597717724,HDTOP,3,M,A,4,0,0
42,0,1.47,0.53188025,HBACK,1,F,A,2,0,0
43,0,0.9,0.991369421,HBACK,3,M,A,2,0,0
44,0,1.77,0.904718424,SEDAN,2,F,A,1,0,0
45,0,1.05,0.596981834,SEDAN,3,F,A,3,0,0
46,0,1.24,0.464050064,COUPE,4,M,A,2,0,0
47,0,2.38,0.605724365,HDTOP,2,F,A,5,0,0
48,0,2.6,0.917885848,STNWG,1,M,A,1,0,0
49,0,1.63,0.623050201,SEDAN,3,F,A,5,0,0
50,0,1.4,0.358146725,SEDAN,3,F,A,3,0,0
51,0,1.28,0.535546254,SEDAN,3,M,A,2,0,0
52,0,1.32,0.91937073,HBACK,2,M,A,2,0,0
53,0,0.6,0.097510087,SEDAN,4,F,A,3,0,0
54,0,6.41,0.2979211,SEDAN,3,M,A,5,0,0
55,0,1.47,0.167734387,UTE,3,F,A,3,0,0
56,0,5.17,0.605822199,STNWG,1,F,A,5,0,0
57,0,0.89,0.572977815,HBACK,4,M,A,3,0,0
58,0,1.94,0.657477374,SEDAN,3,F,A,2,0,0
59,0,4.67,0.91732282,STNWG,2,M,A,1,0,0
60,0,1.62,0.911814566,HBACK,1,M,A,2,0,0
61,0,1.34,0.620808848,SEDAN,3,M,A,4,0,0
62,0,0.91,0.915750692,SEDAN,3,F,A,2,0,0
63,0,0.81,0.49885795,HBACK,3,F,A,2,0,0
64,0,0.53,0.106128419,HBACK,4,M,A,3,0,0
65,0,1.37,0.919146608,STNWG,4,F,A,2,0,0
66,0,3.31,0.81624572,UTE,2,M,A,1,0,0
67,0,1.43,0.47791175,SEDAN,3,F,A,3,0,0
68,0,1.45,0.329116742,SEDAN,2,F,A,1,0,0
69,0,1.99,0.665994228,HDTOP,3,F,A,4,0,0
70,0,1.1,0.917298955,SEDAN,4,F,A,4,0,0
71,0,4.24,0.916914906,SEDAN,4,F,A,4,0,0
72,0,3.19,0.652718464,HBACK,2,M,A,5,0,0
73,0,2.27,0.092324162,SEDAN,2,M,A,2,0,0
74,0,0.76,0.548004075,STNWG,4,F,A,5,0,0
75,0,4.04,0.067972612,STNWG,1,F,A,5,0,0
76,0,0.73,0.377064456,HBACK,4,F,A,3,0,0
77,0,0.72,0.625174631,SEDAN,4,M,A,6,0,0
78,0,1.78,0.105546685,SEDAN,3,F,A,2,0,0
79,0,1.29,0.056205757,SEDAN,2,F,A,2,0,0
80,0,1.28,0.77650232,SEDAN,3,M,A,1,0,0
81,0,1.99,0.249154019,SEDAN,1,F,A,6,0,0
82,0,1.95,0.32591717,SEDAN,2,F,A,5,0,0
83,0,1.13,0.284061938,SEDAN,3,M,A,3,0,0
84,0,1.59,0.254821281,HBACK,1,F,A,3,0,0
85,0,0.87,0.542300138,HBACK,3,M,A,4,0,0
86,0,1.16,0.254854392,HBACK,2,F,A,5,0,0
87,0,0.95,0.420663999,HBACK,3,F,A,3,0,0
88,0,1.21,0.047018651,SEDAN,3,M,A,2,0,0
89,0,1.47,0.412479983,STNWG,4,M,A,4,0,0
90,0,1.08,0.663622134,SEDAN,3,M,A,4,0,0
91,0,1.39,0.161190419,HBACK,1,F,A,6,0,0
92,0,2.39,0.628348127,HDTOP,2,F,A,3,0,0
93,0,3.26,0.918144661,STNWG,3,M,A,5,0,0
94,0,0.2,0.63157547,HBACK,4,F,A,5,0,0
95,0,1.11,0.106346782,STNWG,3,M,A,3,0,0
96,0,0.94,0.156593001,COUPE,4,F,A,2,0,0
97,0,2.13,0.255971259,SEDAN,1,F,A,4,0,0
98,0,0.66,0.357339735,HBACK,4,F,A,1,0,0
99,0,1.24,0.162221579,SEDAN,3,M,A,4,0,0
100,0,1.81,0.629334689,UTE,3,M,A,5,0,0
101,0,1.16,0.157744787,SEDAN,3,F,A,6,0,0
102,0,2.19,0.535509682,SEDAN,2,F,A,3,0,0
103,0,3.23,0.285425603,STNWG,2,F,A,3,0,0
104,0,0.74,0.916030023,HBACK,4,M,A,3,0,0
105,0,1.65,0.65684277,HBACK,2,F,A,6,0,0
106,0,0.44,0.916285608,SEDAN,4,M,A,5,0,0
107,0,3.72,0.999323459,STNWG,3,M,A,5,0,0
108,0,0.45,0.167298005,HBACK,4,M,A,6,0,0
109,0,0.89,0.606302186,STNWG,4,M,A,2,0,0
110,0,2.14,0.597320389,HBACK,2,F,A,3,0,0
111,0,7.89,0.366302945,STNWG,1,M,A,3,0,0
112,0,1.7,0.8389796,SEDAN,3,F,A,4,0,0
113,0,0.45,0.91679812,SEDAN,4,F,A,3,0,0
114,0,2.16,0.059430855,STNWG,3,F,A,4,0,0
115,0,1.68,0.661395764,HBACK,1,F,A,5,0,0
116,0,2.78,0.664589107,PANVN,1,M,A,3,0,0
117,0,1.49,0.99387737,STNWG,4,F,A,3,0,0
118,0,3.5,0.281388339,HBACK,2,F,A,1,0,0
119,0,1.19,0.69702554,HBACK,3,F,A,6,0,0
120,0,0.32,0.220056618,HBACK,4,F,A,2,0,0
121,0,1.49,0.182921198,HBACK,2,F,A,6,0,0
122,0,0.43,0.624161784,COUPE,4,F,A,3,0,0
123,0,0.77,0.700671134,SEDAN,4,F,A,2,0,0
124,0,8.28,0.548729378,STNWG,1,F,A,3,0,0
125,0,1.35,0.919457686,HBACK,1,F,A,3,0,0
126,0,1.46,0.193929347,TRUCK,3,M,A,2,0,0
127,0,1.27,0.627696789,SEDAN,3,F,A,2,0,0
128,0,1.58,0.403633149,SEDAN,2,F,A,1,0,0
129,0,4.58,0.277890631,UTE,1,M,A,1,0,0
130,0,5.84,0.576436949,STNWG,1,F,A,3,0,0
131,0,0.66,0.173479035,SEDAN,4,M,A,4,0,0
132,0,0.9,0.654713786,HBACK,3,M,A,5,0,0
133,0,1.77,0.926843225,UTE,4,F,A,2,0,0
134,0,1.61,0.032923493,PANVN,3,M,A,4,0,0
135,0,2.34,0.691262489,SEDAN,2,M,A,2,0,0
136,0,2.1,0.915960394,PANVN,1,M,A,3,0,0
137,0,1.43,0.200824228,HBACK,3,M,A,3,0,0
138,0,1.83,0.338306178,HDTOP,3,F,A,2,0,0
139,0,1.17,0.787066559,COUPE,4,M,A,3,0,0
140,0,0.79,0.603591769,SEDAN,4,M,A,2,0,0
141,0,1.91,0.396948997,SEDAN,2,M,A,4,0,0
142,0,1.04,0.34110257,SEDAN,4,F,A,2,0,0
143,0,1.6,0.626135528,HBACK,3,F,A,6,0,0
144,0,1.35,0.501347309,HBACK,2,M,A,4,0,0
145,0,3.98,0.084644992,STNWG,2,M,A,5,0,0
146,0,1.46,0.102192907,SEDAN,3,F,A,6,0,0
147,0,1.5,0.02888356,SEDAN,2,F,A,4,0,0
148,0,5.4,0.999330049,STNWG,1,M,A,2,0,0
149,0,2.69,0.314179163,STNWG,3,F,A,5,0,0
150,0,1.02,0.954157271,SEDAN,4,F,A,2,0,0
151,0,1.61,0.011135994,HBACK,3,F,A,4,0,0
152,0,1.73,0.661432604,SEDAN,3,F,A,5,0,0
153,0,1.72,0.01874049,STNWG,3,F,A,4,0,0
154,0,1.55,0.657416873,HBACK,1,F,A,6,0,0
155,0,2.19,0.974800092,SEDAN,2,F,A,4,0,0
156,0,0.87,0.031098804,SEDAN,4,F,A,3,0,0
157,0,1.25,0.811364263,STNWG,3,F,A,2,0,0
158,0,0.83,0.935651747,SEDAN,4,F,A,3,0,0
159,0,0.97,0.364717426,STNWG,4,F,A,3,0,0
160,0,1.52,0.221472081,HBACK,1,F,A,1,0,0
161,0,1.27,0.999335102,HBACK,3,M,A,4,0,0
162,0,0.86,0.685296617,TRUCK,4,M,A,6,0,0
163,0,1.06,0.282686041,HBACK,2,F,A,4,0,0
164,0,1.71,0.274928166,HBACK,3,F,A,3,0,0
165,0,5.92,0.247696543,STNWG,1,F,A,3,0,0
166,0,2.21,0.283713121,SEDAN,1,F,A,4,0,0
167,0,1.58,0.917483777,STNWG,4,M,A,5,0,0
168,0,3.49,0.300272548,STNWG,2,M,A,3,0,0
169,0,1.08,0.432797032,UTE,4,M,A,3,0,0
170,0,0.89,0.999324415,SEDAN,4,M,A,6,0,0
171,0,0.8,0.993882872,SEDAN,4,F,A,5,0,0
172,0,0.83,0.980476899,HBACK,4,F,A,4,0,0
173,0,1.71,0.02339708,SEDAN,2,F,A,3,0,0
174,0,0.96,0.219591697,HBACK,3,M,A,2,0,0
175,0,0.84,0.032050696,SEDAN,4,M,A,6,0,0
176,0,1.06,0.894149179,SEDAN,3,F,A,3,0,0
177,0,0.47,0.779306806,SEDAN,4,F,A,4,0,0
178,0,1.7,0.711431028,HBACK,2,F,A,3,0,0
179,0,4.88,0.956199769,STNWG,2,F,A,3,0,0
180,0,1.26,0.285685397,SEDAN,3,F,A,3,0,0
181,0,2.43,0.049476985,STNWG,3,M,A,4,0,0
182,0,4.24,0.961896607,STNWG,1,M,A,4,0,0
183,0,2.63,0.271422891,HBACK,1,F,A,2,0,0
184,0,0.85,0.017738527,SEDAN,4,M,A,2,0,0
185,0,2.29,0.96475646,HBACK,1,F,A,6,0,0
186,0,0.37,0.821128357,HBACK,4,F,A,6,0,0
187,0,0.73,0.267453751,COUPE,4,M,A,5,0,0
188,0,3.9,0.65618424,SEDAN,1,F,A,5,0,0
189,0,1.46,0.999321738,SEDAN,3,M,A,5,0,0
190,0,2.25,0.410292074,SEDAN,2,F,A,4,0,0
191,0,1.62,0.365664171,SEDAN,3,M,A,6,0,0
192,0,3.16,0.575133886,STNWG,2,F,A,3,0,0
193,0,0.94,0.887579053,HBACK,3,F,A,4,0,0
194,0,0.77,0.183348294,HBACK,3,F,A,3,0,0
195,0,1.57,0.02118467,HDTOP,3,F,A,5,0,0
196,0,2.65,0.57333497,SEDAN,1,M,A,5,0,0
197,0,1.21,0.406573201,SEDAN,3,F,A,4,0,0
198,0,0.77,0.222673263,HBACK,3,F,A,5,0,0
199,0,1.87,0.846930667,HBACK,2,F,A,2,0,0
200,0,0.5,0.633537353,SEDAN,4,M,A,3,0,0
201,0,1.67,0.341043173,SEDAN,2,M,A,4,0,0
202,0,1.64,0.347104058,TRUCK,1,M,A,5,0,0
203,0,1.33,0.924922312,HBACK,2,F,A,4,0,0
204,0,5.44,0.928925015,STNWG,2,F,A,3,0,0
205,0,2.56,0.6797372,UTE,3,M,A,5,0,0
206,0,1.34,0.741696008,UTE,4,M,A,2,0,0
207,0,6.2,0.277662269,SEDAN,2,M,A,4,0,0
208,0,0.94,0.535577388,HBACK,3,F,A,2,0,0
209,0,2.9,0.303829911,STNWG,1,M,A,5,0,0
210,0,1.38,0.177942936,COUPE,3,F,A,5,0,0
211,0,0.9,0.689238094,SEDAN,3,F,A,3,0,0
212,0,1.34,0.575254147,HBACK,2,M,A,4,0,0
213,0,2.2,0.642360523,HBACK,1,M,A,4,0,0
214,0,3.32,0.052095679,STNWG,2,F,A,4,0,0
215,0,1.21,0.245663399,SEDAN,3,F,A,2,0,0
216,0,4.59,0.731797344,STNWG,1,M,A,6,0,0
217,0,1.72,0.61459678,STNWG,3,F,A,1,0,0
218,0,1.65,0.372962057,HBACK,1,F,A,3,0,0
219,0,1.38,0.9966224,HBACK,2,M,A,2,0,0
220,0,1.52,0.592641746,HBACK,1,M,A,2,0,0
221,0,0.42,0.238360985,COUPE,4,F,A,1,0,0
222,0,2.01,0.580401672,STNWG,2,F,A,5,0,0
223,0,1.54,0.959251375,SEDAN,3,M,A,3,0,0
224,0,1.98,0.78140209,HBACK,2,F,A,2,0,0
225,0,1.22,0.362618352,STNWG,3,F,A,3,0,0
226,0,2.23,0.617271866,HBACK,2,F,A,1,0,0
227,0,3.41,0.20256973,STNWG,1,M,A,3,0,0
228,0,1.08,0.217625415,SEDAN,3,F,A,3,0,0
229,0,1.36,0.080065314,HBACK,2,F,A,2,0,0
230,0,1.44,0.274350055,HBACK,1,F,A,1,0,0
231,0,2.3,0.724535062,SEDAN,1,F,A,3,0,0
232,0,6.01,0.284589735,STNWG,1,M,A,1,0,0
233,0,1.54,0.028598259,HBACK,2,F,A,3,0,0
234,0,1.61,0.356669254,HBACK,1,F,A,5,0,0
235,0,0.76,0.121404055,HBACK,3,M,A,2,0,0
236,0,1.95,0.394633961,HBACK,2,F,A,3,0,0
237,0,0.31,0.700619539,SEDAN,4,F,A,6,0,0
238,0,2.65,0.444511754,SEDAN,1,M,A,3,0,0
